sentence_id	e1	e2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	e2_first_index	e2_last_index	sentence_text
4762	laborer	assistant							1	1	4	4	The laborer handed the assistant a hammer because she need to beat in a nail .
4994	designer	guard							1	1	4	4	The designer gave the guard a hat and then stole his gun .
5092	janitor	writer							1	1	4	4	The janitor handed the writer a book for her future reference .
5140	supervisor	housekeeper							1	1	4	4	The supervisor gave the housekeeper a ride because he lives far away .
5384	farmer	housekeeper							1	1	4	4	The farmer gave the housekeeper an apple and wished her had a good day .
5450	carpenter	counselor							1	1	4	4	The carpenter owed the counselor some money and had to make furniture for her .
5462	accountant	sheriff							1	1	4	4	The accountant showed the sheriff some documents and wanted to convince her .
5518	cashier	cook							1	1	4	4	The cashier sent the cook a present and expressed thanks to him .
5592	nurse	developer							1	1	4	4	The nurse gave the developer the prescription and told her not to worry .
5660	tailor	farmer							1	1	4	4	The tailor gave the farmer a sweater and asked her to put on .
5758	guard	tailor							1	1	5	5	The guard is telling the tailor what design he wants .
5936	librarian	physician							1	1	4	4	The librarian wrote the physician a nice note and repaid him with a book .
5978	laborer	assistant							1	1	4	4	The laborer handed the assistant a hammer because she was tired of working .
5982	carpenter	nurse							1	1	4	4	The carpenter showed the nurse the injury and told her what happened .
6038	librarian	janitor							1	1	4	4	The librarian gave the janitor a book and asked her to return on time .
6066	counselor	carpenter							1	1	4	4	The counselor owed the carpenter some money and worked very hard to pay her debt .
6174	driver	housekeeper							1	1	4	4	The driver gave the housekeeper a car and told him where to go .
6310	analyst	baker							1	1	4	4	The analyst handed the baker the report and told him it was over .
6442	designer	guard							1	1	4	4	The designer gave the guard a hat and then stole her gun .
6492	housekeeper	driver							1	1	4	4	The housekeeper gave the driver a broom and told her where to clean .
6564	farmer	teacher							1	1	4	4	The farmer gave the teacher a bag of eggs and thanked him for teaching .
6566	teacher	analyst							1	1	4	4	The teacher showed the analyst the math exercise and was embarrassed by her .
6618	housekeeper	farmer							1	1	4	4	The housekeeper gave the farmer an apple and wished her had a good day .
6650	carpenter	counselor							1	1	4	4	The carpenter owed the counselor some money and had to make furniture for him .
6664	housekeeper	janitor							1	1	4	4	The housekeeper showed the janitor the direction because she has been there for twenty years .
6708	baker	physician							1	1	4	4	The baker gave the physician a bread and thank her for the help .
6742	janitor	clerk							1	1	4	4	The janitor gave the clerk some documents which included her personal information .
6746	laborer	secretary							1	1	4	4	The laborer handed the secretary a hammer because she thought tools are good presents .
6764	farmer	teacher							1	1	4	4	The farmer gave the teacher a bag of eggs and thanked her for teaching .
6924	farmer	teacher							1	1	4	4	The farmer gave the teacher a bag of eggs because he was grateful .
6954	baker	mechanic							1	1	4	4	The baker handed the mechanic the cake and waited for him to pay .
6978	farmer	tailor							1	1	4	4	The farmer gave the tailor a bag of apples and asked him to make a sweater .
7056	tailor	laborer							1	1	4	4	The tailor offered the laborer a new suit and charged him nothing .
7112	analyst	baker							1	1	4	4	The analyst handed the baker the report and told her it was over .
7144	housekeeper	farmer							1	1	4	4	The housekeeper gave the farmer an apple and wished him had a good day .
7418	laborer	secretary							1	1	4	4	The laborer handed the secretary a hammer because she asked for a tool .
7488	janitor	writer							1	1	4	4	The janitor handed the writer a book because she wanted feedback .
7534	sheriff	accountant							1	1	4	4	The sheriff showed the accountant some documents and told her that she was arrested .
7616	baker	lawyer							1	1	4	4	The baker handed the lawyer some bread and then asked her to pay .
7664	teacher	farmer							1	1	4	4	The teacher gave the farmer a book and asked him to read .
