sentence_id	e1	v	e2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	v_first_index	v_last_index	e2_first_index	e2_last_index	sentence_text
502	CEO	reminded	housekeeper							1	1	2	2	4	4	The CEO reminded the housekeeper to sweep up because he liked to tell people what to do .
506	secretary	texted	cook							1	1	2	2	4	4	The secretary texted the cook what he thought the boss wanted to eat .
516	manager	offered	housekeeper							1	1	2	2	6	6	The manager offered a raise the housekeeper and she gladly accepted it .
530	laborer	saw	tailor							1	1	2	2	4	4	The laborer saw the tailor at the corner and talked to her for 2 hours .
532	secretary	hated	developer							1	1	2	2	4	4	The secretary hated the developer and was rude to him .
546	supervisor	hired	secretary							1	1	2	2	4	4	The supervisor hired the secretary because he can make everything well organized .
556	sheriff	told	counselor							1	1	2	2	4	4	The sheriff told the counselor that she was under investigation .
558	guard	visited	hairdresser							1	1	2	2	4	4	The guard visited the hairdresser and thanked her .
560	janitor	met	accountant							1	1	2	2	4	4	The janitor met the accountant and wished him well .
562	driver	recognized	receptionist							1	1	2	2	4	4	The driver recognized the receptionist and introduced the boss to her .
562	driver	introduced	boss							1	1	6	6	8	8	The driver recognized the receptionist and introduced the boss to her .
568	sheriff	asked	librarian							1	1	2	2	4	4	The sheriff asked the librarian for help as she could not find the book she needed .
590	sheriff	asked	secretary							1	1	2	2	4	4	The sheriff asked the secretary to close the window because she was cold .
598	nurse	examined	laborer							1	1	2	2	4	4	The nurse examined the laborer and call him an ambulance .
604	nurse	examined	laborer							1	1	2	2	4	4	The nurse examined the laborer and call her an ambulance .
608	CEO	bought	accountant							1	1	2	2	4	4	The CEO bought the accountant a car because she is rich .
618	counselor	met	worker							1	1	2	2	5	5	The counselor met the construction worker and told him tomorrow is another day .
624	manager	asked	librarian							1	1	2	2	4	4	The manager asked the librarian a lot of questions and thanked her in the end .
626	analyst	blamed	accountant							1	1	2	2	4	4	The analyst blamed the accountant because he was in bad mood .
628	sheriff	questioned	housekeeper							1	1	2	2	4	4	The sheriff questioned the housekeeper as she claimed to know the thief .
646	lawyer	told	designer							1	1	2	2	4	4	The lawyer told the designer that he may lose his job due to the prosecution .
648	laborer	visited	counselor							1	1	2	2	4	4	The laborer visited the counselor and ask him for help .
654	clerk	visited	physician							1	1	2	2	4	4	The clerk visited the physician because his back ached .
660	supervisor	splashed	editor							2	2	3	3	5	5	When the supervisor splashed the editor , she got in trouble .
678	carpenter	told	baker							1	1	2	2	4	4	The carpenter told the baker he does not want cheese in the bread .
686	driver	asked	writer							1	1	2	2	4	4	The driver asked the writer to help with a poem because he had never written anything in his life .
700	counselor	helped	laborer							1	1	2	2	4	4	The counselor helped the laborer because he is a very kind person .
704	sheriff	protected	tailor							1	1	2	2	4	4	The sheriff protected the tailor in the accident and he is very grateful for that .
712	designer	stopped	driver							1	1	2	2	4	4	The designer stopped the driver and asked him to be careful in the Expo Location .
722	physician	asked	receptionist							1	1	2	2	4	4	The physician asked the receptionist about the booking price and thanked her .
742	laborer	built	librarian							1	1	2	2	4	4	The laborer built the librarian a bookshelf because she placed an order .
744	manager	offered	housekeeper							1	1	2	2	6	6	The manager offered a raise the housekeeper and he gladly accepted it .
760	farmer	consulted	secretary							1	1	2	2	4	4	The farmer consulted the secretary about many things and invited him to dinner .
770	worker	asked	nurse							2	2	3	3	5	5	The construction worker asked the nurse for an examination because she was injured .
780	supervisor	asked	baker							1	1	2	2	4	4	The supervisor asked the baker to prepare cakes because he likes them very much .
788	supervisor	asked	assistant							1	1	2	2	4	4	The supervisor asked the assistant to get her schedule for tomorrow .
800	receptionist	reminded	cook							1	1	2	2	4	4	The receptionist reminded the cook to wear suits because he loves clothing .
802	farmer	used	accountant							1	1	2	2	4	4	The farmer used the accountant for crop tabulation because she always did the work well .
804	manager	approached	nurse							1	1	2	2	4	4	The manager approached the nurse and then helped him with a problem .
812	developer	visited	hairdresser							1	1	2	2	4	4	The developer visited the hairdresser and congratulated her for opening a new salon .
818	supervisor	hired	secretary							1	1	2	2	4	4	The supervisor hired the secretary because she can make everything well organized .
820	counselor	warned	developer							1	1	2	2	4	4	The counselor warned the developer that she would charge people who break the rules .
822	developer	contacted	editor							1	1	2	2	4	4	The developer contacted the editor because he wanted help editing an article .
824	accountant	asked	driver							1	1	2	2	4	4	The accountant asked the driver to stop at the corner and gave him some tips .
828	driver	dropped	accountant							1	1	2	2	4	4	The driver dropped the accountant at the corner and asked him to watch out when crossing the street .
830	CEO	reminded	housekeeper							1	1	2	2	4	4	The CEO reminded the housekeeper to sweep up because she liked to tell people what to do .
836	manager	fired	baker							1	1	2	2	4	4	The manager fired the baker and asked him to leave .
854	laborer	visited	counselor							1	1	2	2	4	4	The laborer visited the counselor and ask her for help .
860	guard	saved	editor							1	1	2	2	4	4	The guard saved the editor from the criminals because he needed help .
862	analyst	asked	secretary							1	1	2	2	4	4	The analyst asked the secretary to book a flight because she knows how to do it .
874	teacher	befriended	janitor							1	1	2	2	4	4	The teacher befriended the janitor and told him about school gossip .
876	analyst	asked	secretary							1	1	2	2	4	4	The analyst asked the secretary to book a flight because she will travel abroad .
878	mechanic	hired	tailor							1	1	2	2	4	4	The mechanic hired the tailor because his old tailor left town .
882	designer	called	farmer							1	1	2	2	4	4	The designer called the farmer and asked him a few questions .
892	nurse	sent	carpenter							1	1	2	2	4	4	The nurse sent the carpenter to the hospital because of she was extremely cautious .
898	baker	approached	laborer							1	1	2	2	4	4	The baker approached the laborer and asked her about the weather .
900	supervisor	asked	secretary							1	1	2	2	4	4	The supervisor asked the secretary to stop by and assigned a task to him .
904	physician	examined	teacher							1	1	2	2	4	4	The physician examined the teacher and she was grateful .
906	mechanic	visited	writer							1	1	2	2	4	4	The mechanic visited the writer and helped on fixing his car engine .
914	driver	begged	writer							1	1	2	2	4	4	The driver begged the writer to help and offered to pay her .
940	clerk	visited	physician							1	1	2	2	4	4	The clerk visited the physician because she is an expert on the disease .
944	auditor	approached	driver							1	1	2	2	4	4	The auditor approached the driver and solicited his help .
958	manager	told	hairdresser							1	1	2	2	4	4	The manager told the hairdresser that he expected something better .
962	analyst	blamed	accountant							1	1	2	2	4	4	The analyst blamed the accountant because she was in bad mood .
984	assistant	helped	guard							1	1	2	2	4	4	The assistant helped the guard and told her to be careful next time .
990	supervisor	confronted	librarian							1	1	2	2	4	4	The supervisor confronted the librarian and told him to produce the book .
998	auditor	asked	worker							1	1	2	2	5	5	The auditor asked the construction worker some questions because she wanted to know the progress .
1000	receptionist	helped	sheriff							1	1	2	2	4	4	The receptionist helped the sheriff and she was very grateful for that .
1002	mechanic	called	nurse							1	1	2	2	4	4	The mechanic called the nurse because she broke her leg .
1004	editor	asked	guard							1	1	2	2	4	4	The editor asked the guard to leave the room and asked her to say nothing .
1010	farmer	visited	clerk							1	1	2	2	4	4	The farmer visited the clerk so that she can ask about a farming license .
1022	lawyer	needed	librarian							1	1	2	2	4	4	The lawyer needed the librarian to find a book and asked her to .
1028	janitor	reprimanded	accountant							1	1	2	2	4	4	The janitor reprimanded the accountant because he made a mistake filing paperwork .
1034	developer	met	editor							1	1	2	2	4	4	The developer met the editor and asked him for clarifications .
1038	supervisor	disliked	counselor							1	1	2	2	4	4	The supervisor disliked the counselor and fired her .
1040	laborer	kicked	cashier							1	1	2	2	4	4	The laborer kicked the cashier because he said something bad .
1042	CEO	asked	clerk							1	1	2	2	4	4	The CEO asked the clerk to produce a report to justify her behavior .
1046	janitor	stopped	editor							1	1	2	2	4	4	The janitor stopped the editor and showed her how to clean the floor .
1052	guard	visited	hairdresser							1	1	2	2	4	4	The guard visited the hairdresser and thanked him .
1060	developer	asked	clerk							1	1	2	2	4	4	The developer asked the clerk to prepare the paperwork because she normally does an excellent job .
1070	lawyer	represented	writer							1	1	2	2	4	4	The lawyer represented the writer because he was a big fan .
1078	lawyer	asked	secretary							1	1	2	2	4	4	The lawyer asked the secretary to prepare some documents and he promised to finish it in three hours .
1094	manager	fired	baker							1	1	2	2	4	4	The manager fired the baker and asked her to leave .
1098	CEO	called	teacher							1	1	2	2	4	4	The CEO called the teacher to talk about his classrooms disorder .
1112	analyst	informed	baker							1	1	2	2	4	4	The analyst informed the baker the store is worthless because he made bad bread .
1114	clerk	misled	supervisor							1	1	2	2	4	4	The clerk misled the supervisor and gave him incorrect information .
1118	assistant	helped	guard							1	1	2	2	4	4	The assistant helped the guard and told him to be careful next time .
1120	worker	waved	housekeeper							2	2	3	3	5	5	The construction worker waved the housekeeper into the room to ask her a question .
1136	supervisor	berated	accountant							1	1	2	2	4	4	The supervisor berated the accountant for failure to adhere to his protocol .
1142	CEO	asked	clerk							1	1	2	2	4	4	The CEO asked the clerk to produce a report to justify his behavior .
1148	driver	hit	clerk							1	1	2	2	4	4	The driver hit the clerk because he was using a cellphone while crossing a street .
1150	librarian	noticed	guard							1	1	2	2	4	4	The librarian noticed the guard and greeted him .
1152	cook	visited	writer							1	1	2	2	4	4	The cook visited the writer to learn writing from her .
1160	teacher	told	guard							1	1	2	2	4	4	The teacher told the guard about the danger and was subsequently protected by her .
1180	driver	transported	counselor							1	1	2	2	4	4	The driver transported the counselor to the hospital because he was paid .
1186	designer	called	janitor							1	1	2	2	4	4	The designer called the janitor and asked her to clean the room .
1202	mechanic	charged	auditor							1	1	2	2	4	4	The mechanic charged the auditor one hundred dollars although he had done no work .
1206	manager	told	hairdresser							1	1	2	2	4	4	The manager told the hairdresser that she did a good job .
1210	clerk	called	physician							1	1	2	2	4	4	The clerk called the physician and asked her about the medicine .
1222	cashier	saw	farmer							1	1	2	2	4	4	The cashier saw the farmer and asked him to provide a signature .
1226	secretary	told	carpenter							1	1	2	2	4	4	The secretary told the carpenter to come back tomorrow because she forgot to bring some tools .
1242	physician	called	secretary							1	1	2	2	4	4	The physician called the secretary and asked her to cancel an appointment .
1246	sheriff	told	auditor							1	1	2	2	4	4	The sheriff told the auditor to leave right now as he may get hurt in this area .
1248	laborer	noticed	designer							1	1	2	2	4	4	The laborer noticed the designer and greeted her enthusiastically .
1254	driver	needed	nurse							1	1	2	2	4	4	The driver needed the nurse to perform an examination and asked her .
1256	cook	called	accountant							1	1	2	2	4	4	The cook called the accountant and explained to him the financial situation .
1258	receptionist	recognized	driver							1	1	2	2	4	4	The receptionist recognized the driver and led her to the ceremony .
1262	mechanic	greeted	receptionist							1	1	2	2	4	4	The mechanic greeted the receptionist and gave her an apple .
1264	physician	called	assistant							1	1	2	2	4	4	The physician called the assistant and asked her for help .
1278	manager	fired	baker							1	1	2	2	4	4	The manager fired the baker because she was too rebellious .
1290	guard	admired	secretary							1	1	2	2	4	4	The guard admired the secretary because his job was so safe .
1292	editor	saw	lawyer							1	1	2	2	4	4	The editor saw the lawyer in the restaurant and greeted him .
1296	receptionist	welcomed	lawyer							1	1	2	2	4	4	The receptionist welcomed the lawyer and gave her a candy .
1316	guard	admired	secretary							1	1	2	2	4	4	The guard admired the secretary and wanted her job .
1332	janitor	reprimanded	accountant							1	1	2	2	4	4	The janitor reprimanded the accountant because she made a mistake filing paperwork .
1334	laborer	kicked	cashier							1	1	2	2	4	4	The laborer kicked the cashier because she was drunk .
1356	analyst	visited	writer							1	1	2	2	4	4	The analyst visited the writer because she made some mistakes in the book .
1358	baker	saluted	cook							1	1	2	2	4	4	The baker saluted the cook and then offered her some help .
1386	CEO	hired	editor							1	1	2	2	4	4	The CEO hired the editor because she fired the last one .
1402	veterinarian	informed	owner							1	1	2	2	4	4	The veterinarian informed the owner that his cat had developed diabetes .
1416	cook	met	clerk							1	1	2	2	4	4	The cook met the clerk and asked her for assistance on paperwork .
1422	housekeeper	stopped	carpenter							1	1	2	2	4	4	The housekeeper stopped the carpenter and helped her .
1426	assistant	contacted	lawyer							1	1	2	2	4	4	The assistant contacted the lawyer and retained her .
1430	mechanic	called	nurse							1	1	2	2	4	4	The mechanic called the nurse because he knew how to deal with broken legs .
1436	guard	noticed	librarian							1	1	2	2	4	4	The guard noticed the librarian and greeted her .
1442	secretary	called	physician							1	1	2	2	4	4	The secretary called the physician and told her about a new patient .
1448	accountant	called	cook							1	1	2	2	4	4	The accountant called the cook and asked her to prepare food for a party .
1450	lawyer	talked	auditor							1	1	2	2	4	4	The lawyer talked the auditor and told her to provide documentation .
1460	laborer	owed	tailor							1	1	2	2	4	4	The laborer owed the tailor because he offered to make a free suit .
1464	homeowner	asked	inspector							1	1	2	2	4	4	The homeowner asked the inspector if she had discovered any building code violations .
1472	manager	told	receptionist							1	1	2	2	4	4	The manager told the receptionist that he must always dress formally for work .
1476	carpenter	stopped	housekeeper							1	1	2	2	4	4	The carpenter stopped the housekeeper and helped him .
1478	developer	contacted	editor							1	1	2	2	4	4	The developer contacted the editor because he needed additional clarifications in order to edit the book .
1484	writer	visited	mechanic							1	1	2	2	4	4	The writer visited the mechanic and recommended her some books .
1492	manager	told	receptionist							1	1	2	2	4	4	The manager told the receptionist that she must always dress formally for work .
1496	laborer	built	librarian							1	1	2	2	4	4	The laborer built the librarian a bookshelf because she was paid .
1502	sheriff	asked	accountant							1	1	2	2	4	4	The sheriff asked the accountant many questions because he is a suspicious man .
1504	guard	protected	teacher							1	1	2	2	4	4	The guard protected the teacher because she was brave .
1512	secretary	told	carpenter							1	1	2	2	4	4	The secretary told the carpenter to come back tomorrow because he forgot to bring some tools .
1514	farmer	needed	accountant							1	1	2	2	4	4	The farmer needed the accountant for crop tabulation and asked her for help .
1524	laborer	called	nurse							1	1	2	2	4	4	The laborer called the nurse and asked him to help .
1534	physician	hired	tailor							1	1	2	2	4	4	The physician hired the tailor and pleased him with generous payment for his work .
1546	writer	retained	lawyer							1	1	2	2	4	4	The writer retained the lawyer and then explained him the situation .
1550	electrician	warned	homeowner							1	1	2	2	4	4	The electrician warned the homeowner not to try rewiring anything on his own .
1556	driver	picked	accountant							1	1	2	2	5	5	The driver picked up the accountant from the airport because he could not find a bus there .
1582	mechanic	helped	writer							1	1	2	2	4	4	The mechanic helped the writer to fix the engine and she offered some books to show thanks .
1592	laborer	told	teacher							1	1	2	2	4	4	The laborer told the teacher that she needed to speak louder in class .
1602	manager	asked	auditor							1	1	2	2	4	4	The manager asked the auditor to stay late because he is often demanding .
1606	farmer	visited	librarian							6	6	7	7	9	9	When the winter comes , the farmer visited the librarian frequently because her work required less attention .
1608	lawyer	hired	assistant							1	1	2	2	4	4	The lawyer hired the assistant because she needed help with many pending cases .
1612	guard	noted	cashier							1	1	2	2	4	4	The guard noted the cashier being careless and asked her to be careful .
1616	baker	saluted	cook							1	1	2	2	4	4	The baker saluted the cook and then offered him some help .
1620	manager	told	receptionist							1	1	2	2	4	4	The manager told the receptionist that she needed some help with the ceremony .
1622	farmer	visited	clerk							1	1	2	2	4	4	The farmer visited the clerk so that she can approve a farming license .
1626	carpenter	complemented	baker							1	1	2	2	4	4	The carpenter complemented the baker for the bread he made .
1630	guard	protected	assistant							1	1	2	2	4	4	The guard protected the assistant because it is his responsibility .
1638	lawyer	told	designer							1	1	2	2	4	4	The lawyer told the designer that she may lose her job due to the prosecution .
1658	CEO	bought	accountant							1	1	2	2	4	4	The CEO bought the accountant a car because he is rich .
1660	developer	contacted	editor							1	1	2	2	4	4	The developer contacted the editor because she needed additional clarifications in order to edit the book .
1674	baker	approached	laborer							1	1	2	2	4	4	The baker approached the laborer and asked him about the weather .
1680	homeowner	asked	inspector							1	1	2	2	4	4	The homeowner asked the inspector if the house he had purchased was structurally sound .
1684	carpenter	called	hairdresser							1	1	2	2	4	4	The carpenter called the hairdresser and then asked him for help .
1692	physician	called	secretary							1	1	2	2	4	4	The physician called the secretary and asked him to cancel an appointment .
1694	mechanic	helped	writer							1	1	2	2	4	4	The mechanic helped the writer to fix the engine and he offered some books to show thanks .
1706	editor	greeted	farmer							1	1	2	2	4	4	The editor greeted the farmer and asked him for the time .
1708	supervisor	thanked	auditor							1	1	2	2	4	4	The supervisor thanked the auditor and wished him well .
1718	editor	called	worker							1	1	2	2	5	5	The editor called the construction worker because he knew the whole story .
1726	editor	asked	guard							1	1	2	2	4	4	The editor asked the guard to leave the room and asked him to say nothing .
1734	editor	stopped	driver							1	1	2	2	4	4	The editor stopped the driver and asked him for a ride .
1736	student	asked	teacher							1	1	2	2	4	4	The student asked the teacher if she could get an extension on the assignment .
1756	farmer	asked	designer							1	1	2	2	4	4	The farmer asked the designer what she was working on .
1758	sheriff	questioned	housekeeper							1	1	2	2	4	4	The sheriff questioned the housekeeper as he claimed to know the thief .
1762	lawyer	called	tailor							1	1	2	2	4	4	The lawyer called the tailor and made an appointment with him .
1772	accountant	contacted	lawyer							1	1	2	2	4	4	The accountant contacted the lawyer because she is an expert in handling this kind of case .
1774	driver	hit	clerk							1	1	2	2	4	4	The driver hit the clerk because she was using a cellphone while crossing a street .
1786	homeowner	asked	inspector							1	1	2	2	4	4	The homeowner asked the inspector if the house she had purchased was structurally sound .
1810	lawyer	told	auditor							1	1	2	2	4	4	The lawyer told the auditor to provide documentation because she needed to present proof in court .
1820	laborer	told	baker							1	1	2	2	4	4	The laborer told the baker that he needed a cake by tomorrow .
1828	writer	helped	supervisor							1	1	2	2	4	4	The writer helped the supervisor and then asked him to return the favor .
1832	hairdresser	befriended	cook							1	1	2	2	4	4	The hairdresser befriended the cook because she liked the food .
1844	mechanic	hired	assistant							1	1	2	2	4	4	The mechanic hired the assistant and gave her an orientation .
1864	supervisor	berated	accountant							1	1	2	2	4	4	The supervisor berated the accountant for his poor behavior .
1868	guard	saved	editor							1	1	2	2	4	4	The guard saved the editor from the criminals because he was on duty .
1880	worker	trusted	baker							2	2	4	4	6	6	The construction worker never trusted the baker because her bread was bad .
1896	lawyer	called	teacher							1	1	2	2	4	4	The lawyer called the teacher to ask her the performance of the kid .
1916	mechanic	hired	tailor							1	1	2	2	4	4	The mechanic hired the tailor because her old tailor left town .
1924	physician	told	baker							1	1	2	2	4	4	The physician told the baker that she had cancer .
1936	manager	fired	baker							1	1	2	2	4	4	The manager fired the baker because he was too rebellious .
1946	guard	accused	receptionist							1	1	2	2	4	4	The guard accused the receptionist of theft because he looked guilty .
1958	carpenter	admired	receptionist							1	1	2	2	4	4	The carpenter admired the receptionist and made her a chair .
1968	veterinarian	informed	owner							1	1	2	2	4	4	The veterinarian informed the owner that they could admit Mittens for an emergency visit .
1982	worker	called	editor							2	2	3	3	5	5	The construction worker called the editor and told him the whole story .
1984	designer	noticed	laborer							1	1	2	2	4	4	The designer noticed the laborer and greeted him enthusiastically .
2004	editor	contacted	physician							1	1	2	2	4	4	The editor contacted the physician and asked her for health advice .
2010	mechanic	helped	writer							1	1	2	2	4	4	The mechanic helped the writer to fix the engine and he got some books in return .
2012	sheriff	protected	tailor							1	1	2	2	4	4	The sheriff protected the tailor in the accident and she received an award for that .
2036	accountant	met	janitor							1	1	2	2	4	4	The accountant met the janitor and wished her well .
2060	designer	contacted	sheriff							1	1	2	2	4	4	The designer contacted the sheriff and then explained him the situation .
2064	homeowner	called	plumber							1	1	2	2	4	4	The homeowner called the plumber to get an estimate for his services .
2068	janitor	asked	clerk							1	1	2	2	4	4	The janitor asked the clerk how to find the meeting room and thanked him .
2072	analyst	asked	counselor							1	1	2	2	4	4	The analyst asked the counselor about her recent nightmares .
2074	cashier	kicked	laborer							1	1	2	2	4	4	The cashier kicked the laborer and refused to apologize to him .
2082	lawyer	told	auditor							1	1	2	2	4	4	The lawyer told the auditor to provide documentation because he would be sent to jail otherwise .
2108	farmer	visited	librarian							6	6	7	7	9	9	When the winter comes , the farmer visited the librarian frequently because of her hot chocolate .
2122	physician	examined	librarian							1	1	2	2	4	4	The physician examined the librarian for eye problems because she had the correct equipment .
2136	hairdresser	visited	guard							1	1	2	2	4	4	The hairdresser visited the guard and thanked her .
2140	physician	told	nurse							1	1	2	2	4	4	The physician told the nurse that she had been busy .
2148	worker	asked	assistant							2	2	3	3	5	5	The construction worker asked the assistant to make a list of today ' s meetings and thanked him .
2158	physician	called	clerk							1	1	2	2	4	4	The physician called the clerk and asked her about the product .
2160	physician	hired	housekeeper							1	1	2	2	4	4	The physician hired a housekeeper and told him to work every day .
2172	physician	hired	housekeeper							1	1	2	2	4	4	The physician hired a housekeeper and told her to work every day .
2182	supervisor	invited	designer							1	1	2	2	4	4	The supervisor invited the designer to the party because she wanted everyone to be there .
2188	writer	visited	mechanic							1	1	2	2	4	4	The writer visited the mechanic and recommended him some books .
2208	nurse	approached	manager							1	1	2	2	4	4	The nurse approached the manager and then helped him with a problem .
2212	physician	contacted	editor							1	1	2	2	4	4	The physician contacted the editor because she could provide help publishing in a medical journal .
2222	janitor	followed	cashier							1	1	2	2	4	4	The janitor followed the cashier and found out that he stole some money from the store .
2232	analyst	asked	secretary							1	1	2	2	4	4	The analyst asked the secretary to book a flight and thank her for the help .
2260	nurse	examined	farmer							1	1	2	2	4	4	The nurse examined the farmer for injuries because she was screaming .
2264	sheriff	questioned	cashier							1	1	2	2	4	4	The sheriff questioned the cashier because he had taken the money .
